frame.number,frame.time_epoch,ip.src,ip.dst,ipv6.src,ipv6.dst,ip.proto,ipv6.nxt,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,frame.len
40197,1787931522.306719200,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
40198,1787931522.306721200,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
40199,1787931522.307224200,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
40200,1787931522.307230200,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
40201,1787931522.307231300,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
40202,1787931522.307232600,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
40203,1787931522.308147300,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
40204,1787931522.308148600,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
40205,1787931522.309442100,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
40206,1787931522.310387700,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
40207,1787931522.310389600,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
40208,1787931522.310680200,,,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,2405:200:1630:b0d::c,,17,,,58652,443,95
40209,1787931522.312179100,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
40210,1787931522.312671700,,,2405:200:1630:b0d::c,2409:4073:197:3dbc:30ff:ee1:4a11:71ca,,17,,,443,58652,1296
